	NN1	NN2	NN3	UU1	UU2	UU3
SPU_005496	3	5	1	8	2	1
SPU_015047	0	0	3	2	0	0
SPU_007080	0	0	0	0	0	1
SPU_016086	3	2	6	3	0	0
SPU_011325	0	0	0	0	0	0
SPU_011326	0	0	0	0	0	0
SPU_001163	0	0	0	0	0	0
SPU_017478	24	29	50	19	27	18
SPU_011092	123	111	123	120	150	74
SPU_011093	119	91	128	81	67	45
SPU_011091	111	127	65	92	69	51
SPU_011090	9	16	11	2	2	4
SPU_011089	0	0	0	1	0	0
SPU_012586	0	0	0	0	1	0
SPU_012587	4	3	0	1	0	1
SPU_011853	7	19	1	0	2	1
SPU_016731	76	79	115	79	53	20
SPU_003708	102	110	109	82	80	51
SPU_026445	29	39	34	19	20	7
SPU_006651	12	8	11	3	8	0
SPU_011854	0	0	0	0	0	1
SPU_026446	933	827	804	825	868	625
SPU_010550	1	2	4	0	0	0
SPU_016730	0	6	1	1	0	1
SPU_016732	2	0	0	0	0	0
SPU_016729	161	181	169	153	147	108
SPU_016727	96	89	64	139	116	94
SPU_004318	7	17	7	10	7	9
SPU_004315	6	5	8	6	7	4
SPU_028406	0	0	0	0	0	0
SPU_026448	84	93	92	74	64	57
SPU_026447	296	258	334	258	251	200
SPU_007049	0	0	0	0	0	0
SPU_007275	60	48	68	74	45	46
SPU_005812	6	5	10	13	3	4
SPU_004317	122	111	117	115	117	88
SPU_004316	0	0	0	0	2	0
SPU_028332	382	415	381	376	369	305
SPU_024803	7	7	8	13	12	8
SPU_024800	410	408	416	459	341	274
SPU_024804	82	112	110	113	84	111
SPU_019254	36	36	56	62	28	26
SPU_006977	94	92	96	107	120	148
SPU_006978	176	162	152	135	125	88
SPU_016596	242	254	247	283	247	172
SPU_016595	12	16	18	8	4	8
SPU_016597	0	0	0	1	1	0
SPU_023059	0	0	1	1	0	3
SPU_017376	678	761	749	513	477	435
SPU_017375	0	7	1	0	3	1
SPU_017374	7331	7607	7594	10279	7960	5478
SPU_001581	12	3	10	0	3	1
SPU_002023	230	228	236	318	317	280
SPU_027482	92	77	104	61	53	53
SPU_027483	803	794	749	1037	885	823
SPU_027481	311	304	325	213	163	158
SPU_022656	104	107	127	125	86	43
SPU_001526	7	2	0	2	0	3
SPU_005856	1334	1464	1366	952	827	649
SPU_009603	0	0	5	0	0	0
SPU_009604	0	0	0	0	0	0
SPU_009605	14	5	5	7	3	2
SPU_009606	1	0	3	1	0	0
ENSRNA022743777	2	0	0	0	0	0
SPU_026126	15	14	9	8	12	12
SPU_026547	1	0	0	1	0	0
SPU_030060	19	25	14	11	12	8
SPU_024314	6	7	5	4	5	8
SPU_024313	6	2	4	7	3	1
SPU_027023	0	1	0	0	0	0
SPU_006867	36	56	36	14	32	20
SPU_003583	1	1	0	0	1	0
SPU_003584	0	1	0	0	0	0
SPU_011502	356	366	365	422	367	292
SPU_017278	107	80	121	83	66	64
SPU_003462	1	7	4	1	2	0
SPU_003461	346	334	413	326	206	170
SPU_002852	1834	1683	1970	1703	1617	1481
SPU_002853	106	108	118	120	80	55
SPU_018962	141	160	220	144	139	100
SPU_027660	0	0	0	0	0	1
SPU_014312	382	363	428	365	263	182
SPU_018345	0	0	0	0	0	0
SPU_027719	0	0	0	1	0	0
SPU_027717	662	625	672	691	608	412
SPU_027718	8	10	7	19	10	15
SPU_025123	0	0	0	0	0	0
SPU_016431	0	2	0	0	0	1
SPU_016432	68	61	50	35	29	57
SPU_016433	2	1	1	2	0	1
SPU_016434	3	6	7	4	3	1
SPU_016983	72	58	55	60	39	47
