,Control_1,Hot_1,Control_2,Hot_2
isogroup165590,293,0,377,2
isogroup165655,1,22,3,24
isogroup165727,27,2,31,0
isogroup165800,6,13,4,32
isogroup165830,1,0,0,0
isogroup165853,120,5,104,0
isogroup165929,1,4,2,2
isogroup165977,260,2,306,0
isogroup166275,100,571,102,542
isogroup166310,4,17,3,6
isogroup166343,103,145,93,154
isogroup166389,169,5,222,0
isogroup166406,3,13,4,14
isogroup166442,0,0,10,4
isogroup166460,0,33,1,6
isogroup166523,3,16,4,8
isogroup166535,12,62,33,119
isogroup166548,1,126,14,28
isogroup166643,0,0,0,0
isogroup166666,4,43,2,32
isogroup166736,3,31,2,24
isogroup166745,2,9,4,25
isogroup166827,0,4,0,9
isogroup166844,10,44,1,17
isogroup166858,1,13,1,10
isogroup166859,3,95,13,27
isogroup166902,1,41,1,16
isogroup166910,993,5263,1475,6580
isogroup166982,0,2,2,5
isogroup167014,214,5,233,0
isogroup167135,475,12,546,2
isogroup167185,78,455,147,576
isogroup167189,3,70,9,39
isogroup167243,7,12,6,13
isogroup167277,5,23,6,31
isogroup167278,9,65,5,39
isogroup167383,8,25,3,18
isogroup167450,0,23,2,14
isogroup167557,3,119,2,50
isogroup167561,3,3,5,24
isogroup167582,198,9,175,1
isogroup167617,0,14,2,4
isogroup167711,8,13,3,7
isogroup167762,75,387,91,415
isogroup167786,1,12,2,12
isogroup167806,9,23,2,25
isogroup167819,250,6,328,0
isogroup167833,1,37,6,34
isogroup167844,0,8,1,9
isogroup167878,5,0,10,0
isogroup167972,2,7,3,8
isogroup167975,7,59,3,43
isogroup167982,0,3,0,1
isogroup168002,3,3,6,2
isogroup168028,3,8,4,14
isogroup168062,0,7,4,9
isogroup168332,161,4,145,0
isogroup168382,1,39,1,17
isogroup168452,13,0,14,0
isogroup168476,8,0,10,0
isogroup168525,114,4,141,0
isogroup168527,6,11,3,10
isogroup168539,6,118,8,28
isogroup16867,3,6,0,6
isogroup168670,13,82,7,59
isogroup168683,209,4,247,2
isogroup168802,68,353,126,386
isogroup168924,342,2,229,2
isogroup169041,2,23,1,3
isogroup169281,86,339,117,435
isogroup169304,8,14,6,16
isogroup169490,2,22,9,32
isogroup169508,1,0,4,0
isogroup169542,19,114,21,45
isogroup169543,125,7,168,0
isogroup169736,6,36,2,60
isogroup169778,16,1,13,2
isogroup169795,8,17,3,14
isogroup169852,0,2,0,3
isogroup169873,37,0,48,0
isogroup170054,425,2,227,0
isogroup170055,47,2,51,0
isogroup170057,1,23,4,17
isogroup170091,0,6,2,2
isogroup170117,1533,8896,2167,10755
isogroup170142,3,60,5,14
isogroup170202,314,1929,402,2484
isogroup170270,2,30,2,15
isogroup170287,2,85,8,25
isogroup170359,2,45,6,22
isogroup170422,6,23,8,20
isogroup170439,4,25,5,36
isogroup170472,89,354,136,504
isogroup17048,0,0,0,0
isogroup170516,930,6,823,1
isogroup170586,128,1,152,0
isogroup170748,815,5,543,2
isogroup170767,2,23,5,10
isogroup170800,6,43,6,35
isogroup170945,3148,11613,4783,14046
isogroup170961,7,18,3,25
isogroup171107,165,704,239,816
isogroup171139,5,37,2,37
isogroup171192,1,0,6,2
isogroup171239,0,0,0,0
isogroup171278,120,983,148,1191
isogroup171330,0,67,5,23
isogroup171331,131,745,159,842
isogroup171419,106,3,124,1
isogroup171497,3,16,10,55
isogroup171636,3231,12145,4843,14857
isogroup171642,33,195,24,184
isogroup171790,62,191,60,55
isogroup171810,2,154,22,38
isogroup171888,2426,9172,3631,11106
isogroup171905,2,15,3,9
isogroup172062,1,5,1,4
isogroup17214,0,0,0,0
isogroup172212,8,0,3,1
isogroup172230,503,5,331,0
isogroup172265,82,432,123,410
isogroup172319,127,563,185,876
isogroup172344,2,113,16,32
isogroup172349,500,1982,672,2394
isogroup172355,4,37,7,39
isogroup172366,220,7,246,1
isogroup172401,0,18,0,398
isogroup172435,16,137,22,125
isogroup172497,0,14,3,12
isogroup172592,12,39,0,45
isogroup172619,47,422,73,460
isogroup172631,25,65,37,55
isogroup172667,241,12,253,1
isogroup173013,388,9,285,1
isogroup173133,5,109,26,18
isogroup173160,10,47,8,30
isogroup173190,520,5,518,2
isogroup173206,868,3825,1654,5685
isogroup173235,10,60,5,65
isogroup173281,8,35,6,63
isogroup173310,15,67,6,60
isogroup17333,3,58,2,13
isogroup173444,0,40,2,21
isogroup173489,6,1,18,0
isogroup173492,0,9,1,8
isogroup173682,32,172,59,63
isogroup173702,4,9,1,18
isogroup173910,6,32,9,30
isogroup173930,93,543,103,549
isogroup173991,2,0,10,0
isogroup174020,0,2,7,25
isogroup174046,4,21,11,31
isogroup174068,0,11,1,5
isogroup174422,38,159,35,157
isogroup174445,0,6,4,11
isogroup174496,3,10,4,18
isogroup174540,2,8,1,2
isogroup174577,150,5,144,2
isogroup174578,24,163,15,221
isogroup174760,2,6,0,2
isogroup174767,45,3,68,0
isogroup174781,11,45,16,64
isogroup174817,128,4,114,2
isogroup174826,54,2,89,1
isogroup174889,8,225,15,77
isogroup175035,33,147,53,216
isogroup175048,316,6,302,0
isogroup175122,277,8,174,2
isogroup175151,1,6,0,16
isogroup175205,19,117,39,151
isogroup175220,2,20,6,14
isogroup175251,102,0,133,0
isogroup175264,5,12,4,20
isogroup175273,1,9,1,4
isogroup175455,1173,6591,1514,5970
isogroup175468,13,17,3,53
isogroup175545,2,19,1,7
isogroup175584,1,6,0,9
isogroup175615,226,6,241,3
isogroup175725,1,14,1,36
isogroup175894,8,9,7,24
isogroup175948,0,3,0,5
isogroup176093,182,9,208,0
isogroup176138,1,14,2,10
isogroup176171,97,528,154,631
isogroup176190,3,3,3,4
isogroup176294,34,1,42,1
isogroup176297,0,9,5,12
isogroup176305,8,0,28,1
isogroup176332,120,0,84,0
isogroup176379,42,1,33,0
isogroup176393,231,6,190,1
isogroup176458,217,5,190,2
isogroup176475,255,2,209,1
isogroup176490,14,0,12,0
isogroup176508,167,1,191,1
isogroup17652,0,4,0,2
isogroup176548,4,15,6,34
isogroup176561,61,192,63,51
isogroup176595,339,10,238,3
isogroup176701,0,0,0,0
isogroup176827,6,19,15,11
isogroup176934,1,18,0,6
isogroup176998,10,20,1,23
isogroup177009,1,5,1,8
isogroup177016,0,2,1,7
isogroup177112,8,4,4,16
isogroup177133,0,1,0,0
isogroup177202,56,234,106,294
isogroup177203,2,12,3,9
isogroup177327,177,4,236,1
isogroup177422,12,50,23,68
isogroup177517,15,653,60,181
isogroup177557,51,154,36,164
isogroup177600,1,3,8,1
isogroup177729,469,3,363,1
isogroup177776,4,14,3,18
isogroup178015,80,4,98,0
isogroup178176,232,4,209,1
isogroup178194,19,120,27,139
isogroup178322,1,12,3,19
isogroup178359,106,189,107,50
isogroup178374,97,1907,162,3334
isogroup178506,83,486,150,557
isogroup178519,14,38,3,37
isogroup178544,2,26,15,84
isogroup178586,4,9,7,9
isogroup178667,297,5,302,1
isogroup178692,3,0,127,0
isogroup178808,40,147,50,267
isogroup178841,0,0,0,0
isogroup178936,5,139,14,49
isogroup1790,3,21,3,17
isogroup179061,0,3,1,0
isogroup179079,9,185,18,61
isogroup179088,5,196,11,47
isogroup179123,33,258,50,253
isogroup179163,9,51,16,37
isogroup179168,3,20,8,7
isogroup179216,0,0,0,0
isogroup179257,6,61,8,55
isogroup179301,9,67,12,22
isogroup179334,901,4431,1344,4725
isogroup179354,131,6,127,0
isogroup179487,7,467,35,122
isogroup179594,4,97,2,30
isogroup179597,0,15,1,5
isogroup179629,381,6,304,2
isogroup179641,26,117,52,36
isogroup179768,33,219,46,273
isogroup179793,1,16,4,11
isogroup179869,8,67,6,23
isogroup179904,258,8,300,1
isogroup179909,144,2,162,0
isogroup180040,50,3,69,0
isogroup180045,3,5,0,9
isogroup180148,4,86,3,20
isogroup180260,17,2,40,0
isogroup180262,2,21,2,24
isogroup180311,0,15,1,9
isogroup180338,5,133,14,52
isogroup180423,10,241,15,71
isogroup180487,3,34,2,17
isogroup180514,3,0,2,0
isogroup180582,553,2873,832,3110
isogroup180610,1,5,6,37
isogroup180753,369,9,357,2
isogroup180782,591,2817,775,3333
isogroup180836,40,148,51,50
isogroup180839,109,933,97,871
isogroup180846,12,45,13,48
isogroup180936,4,11,10,23
isogroup181077,4,17,3,9
isogroup181079,98,456,76,506
isogroup181090,2,32,5,17
isogroup181105,2,53,0,25
isogroup181127,119,5,114,1
isogroup181178,114,608,137,603
isogroup181292,2,42,2,16
isogroup181313,4,2,9,0
isogroup181316,0,0,0,0
isogroup181369,2,5,2,24
isogroup181399,100,3,126,1
isogroup181412,142,12,185,0
isogroup181418,6,19,10,25
isogroup181558,5,41,5,26
isogroup181609,0,15,5,8
isogroup181626,196,734,289,984
isogroup181712,5,14,3,18
isogroup181714,252,2,96,1
isogroup181719,702,11,370,0
isogroup181725,0,9,1,15
isogroup181765,400,9,433,1
isogroup181767,110,584,137,565
isogroup181787,0,0,0,0
isogroup181803,170,5,147,1
isogroup181824,16,43,11,55
isogroup181888,128,7,110,0
isogroup181921,101,11,160,2
isogroup181962,116,648,215,676
isogroup181994,1,13,2,6
isogroup182019,48,0,87,0
isogroup182051,5,0,15,0
isogroup182070,166,1,156,0
isogroup182093,41,88,17,144
isogroup182102,1,9,1,9
isogroup182114,114,477,195,659
isogroup182120,27,171,22,153
isogroup182153,8,53,4,38
isogroup182183,3,16,1,6
isogroup182197,3,15,7,9
isogroup182220,19,96,21,100
isogroup182230,196,1375,223,1416
isogroup182246,1263,6,1275,3
isogroup182257,5,21,2,24
isogroup182262,152,2,114,1
isogroup182332,171,6,151,1
isogroup182377,0,0,1,0
isogroup182432,0,4,0,3
isogroup182459,7,21,5,36
isogroup182483,6,21,3,27
isogroup182498,47,2,51,0
isogroup182542,8,37,14,39
isogroup182543,37,228,40,233
isogroup182600,1,6,3,14
isogroup182601,38,222,41,179
isogroup182604,127,703,226,938
isogroup182657,1,9,2,6
isogroup182699,6,34,5,8
isogroup182708,20,2,16,1
isogroup182852,134,811,107,893
isogroup182889,83,629,110,206
isogroup182925,68,2,57,0
isogroup183030,206,1307,270,1395
isogroup183075,4,22,6,18
isogroup183127,68,381,57,423
isogroup183181,197,1309,207,1248
isogroup183185,102,5,97,0
isogroup183216,227,8,195,1
isogroup183414,4,14,2,25
isogroup183429,91,595,110,536
isogroup183517,3,26,3,22
isogroup183566,117,2,120,1
isogroup183568,316,8,249,3
isogroup183601,12,45,5,40
isogroup183648,1,14,3,1
isogroup183678,87,933,129,1152
isogroup183737,2901,1856,3922,408
isogroup183741,275,5,206,1
isogroup183796,2,19,2,22
isogroup183822,152,2,125,0
isogroup183831,710,7,521,1
isogroup183870,4,7,2,5
isogroup183871,91,502,114,554
isogroup183872,1,7,0,8
isogroup183876,124,4,176,0
isogroup183888,114,3,125,0
isogroup183951,56,687,48,430
isogroup183977,326,1481,451,1645
isogroup184037,25,126,35,241
isogroup184071,188,4,176,0
isogroup184074,0,2,0,4
isogroup184079,23,176,20,168
isogroup184101,237,3,218,1
isogroup184175,39,42,16,5
isogroup184177,2,17,0,7
isogroup184195,5,21,1,18
isogroup184215,2,9,9,7
isogroup184226,1,16,5,20
isogroup184296,3,11,9,12
isogroup184308,40,153,35,95
isogroup184325,14,136,11,96
isogroup184327,4,22,1,11
isogroup184367,84,494,93,555
isogroup184390,135,3,149,1
isogroup184452,53,173,104,200
isogroup184473,549,12,528,2
isogroup184489,176,846,110,726
isogroup184505,9,15,2,25
isogroup184542,28,240,34,197
isogroup184601,4,8,1,33
isogroup184606,393,11,297,8
isogroup184614,41,147,56,192
isogroup184657,1629,16,1451,5
isogroup184679,45,247,72,249
isogroup184702,2,5,2,5
isogroup184717,0,8,2,7
isogroup184771,187,4,239,1
isogroup184814,44,281,28,124
isogroup184875,0,20,0,14
isogroup184937,93,929,151,958
isogroup184998,1110,14,878,1
isogroup185005,3,9,9,38
isogroup185020,2,9,2,5
isogroup185030,85,525,155,637
isogroup185113,154,5,165,2
isogroup185119,48,385,40,295
isogroup185160,84,0,122,0
isogroup185270,169,2,131,1
isogroup185286,176,9,183,2
isogroup185350,136,670,163,662
isogroup185375,58,2,79,0
isogroup185428,50,585,20,133
isogroup185445,65,241,106,317
isogroup185466,12,0,13,0
isogroup18548,0,12,0,4
isogroup185499,161,4,70,1
isogroup185536,194,2,177,0
isogroup185617,87,62,152,77
isogroup185629,165,4,145,0
isogroup185646,44,255,53,322
isogroup185669,81,457,70,497
isogroup185795,916,63,566,69
isogroup185814,3,3,1,11
isogroup185826,23,1077,58,219
isogroup185827,123,603,107,501
isogroup185853,16,136,18,116
isogroup185872,20,66,41,109
isogroup185881,6,19,1,5
isogroup185926,3,29,4,12
isogroup185993,2,19,8,15
isogroup186003,80,316,52,268
isogroup186048,15,4,15,3
isogroup186063,184,2,126,0
isogroup186091,4,7,2,5
isogroup186130,59,316,32,295
isogroup186155,47,404,61,622
isogroup186166,116,1209,92,713
isogroup186224,3,7,3,5
isogroup186332,24,127,36,157
isogroup186346,134,7,139,8
isogroup186361,4,18,4,19
isogroup186398,2,8,6,35
isogroup186434,41,105,119,104
isogroup186459,3,18,1,5
isogroup186489,27,181,10,158
isogroup186490,100,600,144,622
isogroup186544,3,22,1,16
isogroup186594,259,12,260,3
isogroup186680,104,532,179,715
isogroup186693,30,93,21,73
isogroup186765,392,10,400,4
isogroup186828,71,379,119,478
isogroup186860,1,10,0,4
isogroup186906,3,14,4,24
isogroup186909,112,210,164,381
isogroup186979,1,5,5,5
isogroup187054,828,7,520,0
isogroup187061,26,128,24,158
isogroup187148,195,797,347,970
isogroup18718,0,0,0,0
isogroup187184,172,3,249,1
isogroup187196,0,0,1,0
isogroup187212,1,74,6,35
isogroup187220,0,6,2,26
isogroup187224,58,332,65,354
isogroup187244,66,379,55,389
isogroup187255,53,1,65,1
isogroup187311,0,5,6,4
isogroup187328,0,0,0,0
isogroup18736,0,0,0,0
isogroup187360,4,32,9,29
isogroup187489,157,10,273,0
isogroup187490,86,4,60,1
isogroup187570,2,8,1,5
isogroup187609,6,16,8,9
isogroup187633,29,7,26,4
isogroup187669,2,5,0,4
isogroup187673,816,4398,1335,4915
isogroup187683,10,30,1,18
isogroup187707,40,2,64,3
isogroup187740,16,87,6,52
isogroup187801,7,43,8,40
isogroup187887,25,1,35,1
isogroup187923,31,155,15,84
isogroup187933,2,36,3,15
isogroup188014,9,18,5,10
isogroup188112,24,57,12,9
isogroup188174,9,20,5,16
isogroup188204,3,36,6,10
isogroup188210,41,0,61,1
isogroup188264,2,125,9,34
isogroup188335,2,28,1,19
isogroup188343,1,10,1,13
isogroup188393,6,16,7,9
isogroup188399,215,948,350,1122
isogroup188410,211,6,899,2
isogroup188415,1,3,0,3
isogroup188426,2,50,7,17
isogroup188464,4,19,0,6
isogroup188510,0,9,5,9
isogroup188518,17,5,2,6
isogroup188534,71,2,64,1
isogroup188576,32,183,40,79
isogroup188628,6,21,6,15
isogroup188736,9,88,12,102
isogroup188762,80,1,87,0
isogroup188775,4,57,12,59
isogroup188777,2,103,19,38
isogroup188906,8,19,9,31
isogroup189002,8,38,6,33
isogroup189076,9,88,6,63
isogroup189149,2,137,23,99
isogroup189180,6,55,13,55
isogroup189184,1,20,3,27
isogroup189271,11,43,4,10
isogroup189307,0,43,3,7
isogroup189367,8,288,30,60
isogroup189444,7,29,4,9
isogroup189535,5,23,9,18
isogroup189598,16,66,12,61
isogroup189620,8,46,3,61
isogroup189634,8,27,4,39
isogroup189670,2,0,3,0
isogroup189696,5,54,1,44
isogroup189713,15,61,24,68
isogroup189734,13,186,14,45
isogroup189779,35,0,30,0
isogroup189807,1,7,1,27
isogroup18982,63,0,53,0
isogroup189924,0,2,0,1
isogroup189945,3,33,3,23
isogroup189952,52,2,57,1
isogroup189989,6,72,5,53
isogroup189997,17,176,18,154
isogroup190035,3,19,5,15
isogroup19005,5,8,22,6
isogroup190063,5,23,24,29
isogroup190127,0,18,3,23
isogroup190148,0,0,0,0
isogroup190220,3,0,75,0
isogroup190277,432,346,462,347
isogroup190293,3,13,3,5
isogroup190308,77,2,109,0
isogroup190336,43,0,53,0
isogroup190337,12,459,27,143
isogroup190364,1,10,4,22
isogroup19037,68,1,79,1
isogroup190385,41,37,15,8
isogroup190445,151,3,136,0
isogroup190471,29,159,36,109
isogroup190487,11,19,6,25
isogroup190519,34,1,64,0
isogroup190617,9,93,20,79
isogroup190743,13,67,7,70
isogroup190797,49,3,70,0
isogroup190834,16,122,3,85
isogroup190862,15,34,9,24
isogroup190931,5,186,16,58
isogroup190957,7,18,15,30
isogroup190971,31,106,16,110
isogroup191050,18,137,17,122
isogroup191057,16,35,18,91
isogroup191109,417,2281,595,2336
isogroup191115,7,27,5,49
isogroup191133,374,1999,483,1569
isogroup191170,9,24,7,31
isogroup191217,0,0,0,1
isogroup191219,18,100,6,73
isogroup191229,47,3,82,1
isogroup191235,0,35,4,13
isogroup191238,37,0,46,0
isogroup191246,0,14,0,6
isogroup191266,4,10,3,17
isogroup191280,1,12,1,9
isogroup191374,30,202,14,163
isogroup191413,5,202,23,57
isogroup191414,22,491,52,187
isogroup191422,3,10,7,66
isogroup191502,3,14,1,20
isogroup191570,16,420,41,149
isogroup191650,29,68,26,43
isogroup191681,5,53,9,53
isogroup191746,8,35,7,15
isogroup191754,10,28,8,27
isogroup191818,20,3,25,5
isogroup191822,1628,15960,1830,23136
isogroup191857,25,101,10,48
isogroup191908,1550,4748,4692,5271
isogroup191937,5,85,10,28
isogroup192005,5,19,2,20
isogroup192040,6,24,18,59
isogroup192046,1,163,10,54
isogroup192055,12,51,15,79
isogroup192072,13,48,3,36
isogroup192114,5,20,2,23
isogroup19214,29,2,31,1
isogroup192162,4,7,6,6
isogroup192222,808,1084,1484,3560
isogroup192258,107,229,163,47
isogroup192317,33,0,0,0
isogroup192344,1139,4733,1508,5050
isogroup192348,4,13,8,7
isogroup192394,3,24,6,27
isogroup192414,0,12,1,16
isogroup192556,5,2,2,17
isogroup192562,8,14,6,31
isogroup192687,1,11,1,6
isogroup192781,9,24,8,21
isogroup192799,19,128,22,99
isogroup192800,2687,12523,3956,14759
isogroup192804,2985,11593,4381,15243
isogroup192825,14,66,9,75
isogroup192841,3382,17212,5093,20919
isogroup192865,3159,11814,4720,14199
isogroup192898,7,34,6,37
isogroup193074,1,0,0,0
isogroup193130,3853,14274,5980,18410
isogroup193149,9,32,4,32
isogroup193163,0,18,3,11
isogroup193167,22,175,30,174
isogroup193201,1,15,0,7
isogroup193213,6,47,9,42
isogroup193216,3716,15227,5266,17896
isogroup193258,0,13,1,125
isogroup193308,3,140,13,38
isogroup193321,1,98,8,30
isogroup193340,7,94,5,50
isogroup193353,454,4,422,3
isogroup193446,5,22,5,18
isogroup193460,6,50,4,55
isogroup193524,6,16,10,40
isogroup193566,4,30,8,18
isogroup193590,7,8,3,15
isogroup193640,6,14,10,17
isogroup193681,1918,7867,2814,11840
isogroup193689,3,40,7,20
isogroup193696,0,19,6,13
isogroup193869,4,145,13,34
isogroup193876,67,1,82,0
isogroup193888,17,0,33,0
isogroup193889,453,2170,739,2715
isogroup193905,3,12,6,23
isogroup193921,4,36,3,29
isogroup194011,4,16,6,17
isogroup194019,1,51,4,28
isogroup194030,9,34,11,38
isogroup194084,3,4,7,9
isogroup194086,3,18,2,21
isogroup194112,10,36,6,23
isogroup194154,12,98,3,64
isogroup194164,50,3,48,0
isogroup194183,7,70,11,57
isogroup194194,12,60,9,43
isogroup194259,1,20,1,3
isogroup194266,5,7,3,4
isogroup194269,926,176,1240,39
isogroup194288,1071,16,794,4
isogroup19430,6,197,18,46
isogroup194431,6,41,14,40
isogroup194491,2,22,12,17
isogroup194500,5,64,13,52
isogroup194571,1,282,19,93
isogroup19459,16,358,23,96
isogroup194598,8,218,27,79
isogroup194609,9,87,5,41
isogroup194638,8,49,9,26
isogroup194678,11,34,28,48
isogroup194711,7,216,35,67
isogroup194748,151,3,117,0
isogroup194772,5,24,3,11
isogroup194847,6,26,2,10
isogroup194880,1,1,3,1
isogroup19489,2,32,2,7
isogroup19495,14,57,7,75
isogroup195008,7,29,3,34
isogroup195063,1172,6715,1630,7944
isogroup195119,2,4,5,4
isogroup195121,0,9,4,13
isogroup195322,0,8,4,7
isogroup19533,1,5,1,8
isogroup195343,0,4,1,3
isogroup195370,3,1,3,3
isogroup195375,1,9,1,10
isogroup195394,49,1,37,0
isogroup195449,3,43,3,8
isogroup195451,2,3,2,9
isogroup195553,0,7,1,5
isogroup195590,1,71,11,44
isogroup195628,20,5,79,0
isogroup195666,11,33,13,25
isogroup195752,342,1597,295,1662
isogroup195898,4,8,1,5
isogroup195939,63,2,71,0
isogroup195952,11,113,9,91
isogroup195980,20,140,20,125
isogroup196015,4,18,13,74
isogroup196074,12,495,43,172
isogroup196081,2,7,2,15
isogroup196133,2,10,0,11
isogroup196172,26,140,17,90
isogroup196205,7,194,15,59
isogroup196227,15,136,7,131
isogroup196229,6,49,6,41
isogroup196288,43,1,50,0
isogroup196317,8,284,26,81
isogroup196340,13,206,20,168
isogroup196363,0,15,0,3
isogroup196369,0,3,0,1
isogroup196422,86,3,53,0
isogroup196460,66,3,73,0
isogroup196509,3,0,4,0
isogroup196515,7,6,1,16
isogroup19652,0,6,0,44
isogroup196563,1,80,6,24
isogroup196573,16,55,8,35
isogroup196575,15,78,16,71
isogroup196580,12,77,8,58
isogroup196599,98,1,91,0
isogroup196600,326,3,186,0
isogroup196606,9,77,18,80
isogroup19661,19,662,62,159
isogroup196661,26,1,44,0
isogroup196697,9,62,19,101
isogroup196712,4,26,7,23
isogroup196737,4,0,12,0
isogroup196742,92,10,133,3
isogroup196783,126,3,96,1
isogroup196826,86,1,103,0
isogroup196829,0,1,1,7
isogroup196894,107,4,110,1
isogroup196895,2,13,0,2
isogroup196901,153,16,186,6
isogroup196910,21,81,34,96
isogroup196911,84,6,142,0
isogroup196972,32,230,40,248
isogroup196990,15,84,14,99
isogroup19700,1,0,0,0
isogroup197011,11,46,13,36
isogroup197015,259,1156,363,1269
isogroup197018,12,86,14,72
isogroup197061,103,3,93,0
isogroup197120,4,13,2,16
isogroup197158,56,2,55,0
isogroup197163,0,0,2,1
isogroup197422,6,47,13,36
isogroup197479,41,3,45,0
isogroup197492,33,1,47,0
isogroup197698,23,115,18,93
isogroup197702,5,12,2,4
isogroup197738,27,1,45,0
isogroup197741,3,27,0,4
isogroup197746,90,2,100,0
isogroup197778,2,10,4,4
